,Feature name,Coefficients,p_values
0,Intercept,-1.3384484290532965,
1,grade:A,1.1254867568699238,2.457286087421385e-35
2,grade:B,0.884349032843183,9.33757920668496e-48
3,grade:C,0.6894874009594065,2.0911227396753256e-34
4,grade:D,0.501113447843636,5.861764256961417e-21
5,grade:E,0.3246402425715049,6.119415578942723e-12
6,grade:F,0.13591318851298037,0.0055910686080299895
7,home_ownership:OWN,0.09344209474233608,3.5114855590834946e-06
8,home_ownership:MORTGAGE,0.10623065977535076,4.4630141385905946e-17
9,addr_state:NM_VA,0.03811327373263954,0.2340255537712067
10,addr_state:NY,0.057922711655600104,0.01675826732222574
11,addr_state:OK_TN_MO_LA_MD_NC,0.06032179904274863,0.009153674922005636
12,addr_state:CA,0.0644645299684668,0.0023486921359486134
13,addr_state:UT_KY_AZ_NJ,0.07931098563743491,0.0014504782125747452
14,addr_state:AR_MI_PA_OH_MN,0.13678988500554093,1.238171043570488e-09
15,addr_state:RI_MA_DE_SD_IN,0.10175960077721023,0.0006477801897291206
16,addr_state:GA_WA_OR,0.18666853089772187,2.5427721180461952e-12
17,addr_state:WI_MT,0.24119808747140956,3.9285859599952527e-07
18,addr_state:TX,0.22333002807232802,8.099234368166287e-18
19,addr_state:IL_CT,0.2630488569116031,2.0988697869278503e-19
20,addr_state:KS_SC_CO_VT_AK_MS,0.3217673359877458,1.7028159238438034e-25
21,addr_state:WV_NH_WY_DC_ME_ID,0.5238194929822549,7.382950619810742e-23
22,verification_status:Not Verified,0.08486101307022605,6.120674571505814e-09
23,verification_status:Source Verified,-0.010952037347599154,0.41481618557901956
24,purpose:credit_card,0.30128260854850875,1.548517424477512e-26
25,purpose:debt_consolidation,0.19768038649195205,2.8124685906086453e-14
26,purpose:oth__med__vacation,0.21349987514031898,6.6171147668474935e-12
27,purpose:major_purch__car__home_impr,0.26584954696457225,1.6147027682660623e-17
28,initial_list_status:w,0.05446581033507468,3.0180648467868178e-05
29,term:36,0.07872615769597231,1.7784095325758204e-08
30,emp_length:1,0.09943452090380635,0.00012592106775626206
31,emp_length:2-4,0.12583155402354332,2.5944863962867e-11
32,emp_length:5-6,0.0910200000272817,2.1072417611655978e-05
33,emp_length:7-9,0.06122433837697376,0.0032426138984703594
34,emp_length:10,0.12521382078065701,1.0991458129968444e-11
35,mths_since_issue_d:<38,1.0842489763155558,1.4810603450173975e-182
36,mths_since_issue_d:38-39,0.8817202688248863,6.131456291879542e-152
37,mths_since_issue_d:40-41,0.780612610811229,7.130061447982737e-126
38,mths_since_issue_d:42-48,0.5798915919445689,2.0376116227491308e-89
39,mths_since_issue_d:49-52,0.41842209428105087,1.2005679037424065e-41
40,mths_since_issue_d:53-64,0.17257788354885395,2.977276946619799e-09
41,mths_since_issue_d:65-84,-0.06838462571027902,0.01883568032211674
42,int_rate:<9.548,0.8838989296344465,3.530064064003084e-31
43,int_rate:9.548-12.025,0.5555120262058256,1.3734704597809234e-35
44,int_rate:12.025-15.74,0.3040651374275019,1.160563289906308e-16
45,int_rate:15.74-20.281,0.11212539115677943,0.00010855923566441039
46,mths_since_earliest_cr_line:141-164,0.05512550184567066,0.02668579015941354
47,mths_since_earliest_cr_line:165-247,0.036303984008475114,0.07054235123014783
48,mths_since_earliest_cr_line:248-270,0.07820411096585321,0.002871385436992238
49,mths_since_earliest_cr_line:271-352,0.12077920551501424,2.500783556019069e-07
50,mths_since_earliest_cr_line:>352,0.12853795202076523,1.2431381895316753e-06
51,inq_last_6mths:0,0.6955155796642748,9.32266251072749e-16
52,inq_last_6mths:1-2,0.5489442332346924,2.1616196993154857e-10
53,inq_last_6mths:3-6,0.3379047403005524,0.00010349104761817832
54,acc_now_delinq:>=1,0.2193417798904851,0.037816857073235344
55,annual_inc:20K-30K,-0.07443419265953116,0.07656528029437541
56,annual_inc:30K-40K,-0.011080227665670525,0.7838032161906207
57,annual_inc:40K-50K,0.08377425894698812,0.03776496788548924
58,annual_inc:50K-60K,0.1508407516287755,0.00022198001495791515
59,annual_inc:60K-70K,0.22614702792323682,6.206596013731716e-08
60,annual_inc:70K-80K,0.3000902722897329,1.907089337610345e-12
61,annual_inc:80K-90K,0.3760550900244035,2.4237330260035894e-17
62,annual_inc:90K-100K,0.39571716477139696,7.433951720822273e-18
63,annual_inc:100K-120K,0.4740620758584811,2.471692511854878e-25
64,annual_inc:120K-140K,0.5656990847459573,1.0445193880016388e-27
65,annual_inc:>140K,0.5005667899732622,5.630776667703867e-26
